Total duration (ms),Start date,Start station,End date,End station,Bike number,Subscription Type
394037,01/01/2015 00:55,15th & Euclid St  NW,01/01/2015 01:01,Calvert St & Woodley Pl NW,W00839,Registered
253712,01/01/2015 00:55,21st & I St NW,01/01/2015 00:59,21st St & Pennsylvania Ave NW,W20243,Registered
194893,01/01/2015 01:00,20th & E St NW,01/01/2015 01:03,21st & I St NW,W20945,Registered
992648,01/01/2015 01:01,Wilson Blvd & N Edgewood St,01/01/2015 01:18,Pershing & N George Mason Dr,W21220,Registered
775969,01/01/2015 01:03,21st St & Pennsylvania Ave NW,01/01/2015 01:16,Lincoln Memorial,W20522,Registered
717506,01/01/2015 01:04,21st St & Pennsylvania Ave NW,01/01/2015 01:16,Lincoln Memorial,W20243,Registered
206767,01/01/2015 01:05,14th & Belmont St NW,01/01/2015 01:08,14th & R St NW,W00892,Registered
413020,01/01/2015 01:06,10th & U St NW,01/01/2015 01:13,11th & Kenyon St NW,W20075,Registered
361617,01/01/2015 01:07,11th & F St NW,01/01/2015 01:13,11th & M St NW,W01307,Registered
594526,01/01/2015 01:07,18th St & Wyoming Ave NW,01/01/2015 01:17,17th & K St NW / Farragut Square,W20946,Registered
325052,01/01/2015 01:07,M St & Pennsylvania Ave NW,01/01/2015 01:13,21st & M St NW,W20961,Registered
298369,01/01/2015 01:07,M St & Pennsylvania Ave NW,01/01/2015 01:12,21st & M St NW,W21226,Registered
708018,01/01/2015 01:08,14th & G St NW,01/01/2015 01:19,14th & Belmont St NW,W20136,Registered
502021,01/01/2015 01:08,M St & Delaware Ave NE,01/01/2015 01:16,Neal St & Trinidad Ave NE,W20709,Registered
722931,01/01/2015 01:08,14th & R St NW,01/01/2015 01:20,21st & M St NW,W20464,Registered
241011,01/01/2015 01:09,Crystal City Metro / 18th & Bell St,01/01/2015 01:13,23rd & Eads St,W21932,Registered
1344931,01/01/2015 01:10,23rd & E St NW ,01/01/2015 01:32,4th & M St SW,W00586,Registered
1412605,01/01/2015 01:10,Park Rd & Holmead Pl NW,01/01/2015 01:34,California St & Florida Ave NW,W00211,Registered
1315649,01/01/2015 01:10,23rd & E St NW ,01/01/2015 01:32,4th & M St SW,W20823,Registered
121048,01/01/2015 01:12,Utah St & 11th St N ,01/01/2015 01:14,N Randolph St & Fairfax Dr,W21155,Registered
805451,01/01/2015 01:13,1st & M St NE,01/01/2015 01:26,8th & Eye St SE / Barracks Row,W21098,Registered
799556,01/01/2015 01:13,Florida Ave & R St NW,01/01/2015 01:26,16th & Harvard St NW,W01075,Registered
697652,01/01/2015 01:13,Eastern Market Metro / Pennsylvania Ave & 7th St SE,01/01/2015 01:25,4th & M St SW,W00422,Registered
654483,01/01/2015 01:13,1st & M St NE,01/01/2015 01:24,15th & F St NE,W20217,Registered
484575,01/01/2015 01:14,Eastern Market Metro / Pennsylvania Ave & 7th St SE,01/01/2015 01:22,13th & D St NE,W21554,Registered
1843566,01/01/2015 01:15,24th & N St NW,01/01/2015 01:46,9th & Upshur St NW,W20068,Registered
410863,01/01/2015 01:15,Eastern Market Metro / Pennsylvania Ave & 7th St SE,01/01/2015 01:22,13th & D St NE,W20908,Registered
507765,01/01/2015 01:16,5th & K St NW,01/01/2015 01:24,6th & H St NE,W00895,Registered
80055,01/01/2015 01:16,N Veitch & Key Blvd,01/01/2015 01:18,N Veitch  & 20th St N,W00232,Registered
223257,01/01/2015 01:16,Columbus Circle / Union Station,01/01/2015 01:20,8th & F St NE,W20779,Registered
336721,01/01/2015 01:17,M St & Delaware Ave NE,01/01/2015 01:22,Neal St & Trinidad Ave NE,W20132,Registered
418665,01/01/2015 01:17,Adams Mill & Columbia Rd NW,01/01/2015 01:24,14th & Belmont St NW,W00645,Registered
360287,01/01/2015 01:18,5th & K St NW,01/01/2015 01:24,8th & H St NW,W00324,Registered
453581,01/01/2015 01:20,M St & Delaware Ave NE,01/01/2015 01:27,Rhode Island Ave & V St NE,W21766,Registered
456901,01/01/2015 01:20,M St & Delaware Ave NE,01/01/2015 01:27,Rhode Island Ave & V St NE,W01130,Registered
660584,01/01/2015 01:20,7th & T St NW,01/01/2015 01:31,11th & Kenyon St NW,W20885,Registered
321266,01/01/2015 01:21,14th & Rhode Island Ave NW,01/01/2015 01:26,11th & M St NW,W00017,Registered
